Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
113,28,Male,Boots,Footwear,50,Ohio,M,Red,Winter,2.9,No,2-Day Shipping,Yes,Yes,30,PayPal,Monthly
114,70,Male,Coat,Outerwear,99,Arizona,M,Brown,Spring,3.4,Yes,Store Pickup,No,No,37,Debit Card,Quarterly
115,25,Male,Shirt,Clothing,41,Georgia,L,Beige,Fall,3.1,No,Next Day Air,Yes,Yes,22,Bank Transfer,Quarterly
116,68,Female,Coat,Outerwear,97,Virginia,L,Orange,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,48,Venmo,Every 3 Months
117,53,Female,Slippers,Footwear,64,Ohio,M,Yellow,Spring,4.9,No,2-Day Shipping,No,No,2,PayPal,Monthly
118,23,Female,Pants,Clothing,28,Colorado,M,Pink,Fall,2.8,No,Next Day Air,Yes,Yes,15,Venmo,Monthly
119,21,Male,Jewelry,Accessories,30,New York,S,Beige,Winter,3.6,No,Free Shipping,No,No,35,Bank Transfer,Weekly
120,38,Male,Shirt,Clothing,43,Wisconsin,M,Green,Summer,3.6,No,Free Shipping,No,No,40,Credit Card,Every 3 Months
121,35,Male,Handbag,Accessories,20,Wisconsin,L,Yellow,Summer,3.2,No,2-Day Shipping,Yes,Yes,13,Debit Card,Annually
122,34,Male,Gloves,Accessories,20,Ohio,M,Blue,Summer,3.2,No,Express,Yes,Yes,41,Bank Transfer,Annually
123,46,Male,Slippers,Footwear,77,Illinois,XL,Blue,Fall,4.3,No,Express,No,No,24,Bank Transfer,Every 3 Months
124,24,Male,Jeans,Clothing,30,California,L,Black,Fall,4.0,No,Standard,No,No,43,Debit Card,Bi-Weekly
125,24,Male,Boots,Footwear,71,Wisconsin,L,White,Spring,4.5,Yes,2-Day Shipping,No,No,14,PayPal,Quarterly
126,54,Male,Boots,Footwear,48,California,M,Grey,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Debit Card,Bi-Weekly
127,70,Male,Boots,Footwear,54,California,S,Beige,Fall,4.0,Yes,Standard,No,No,11,Bank Transfer,Annually
128,32,Male,Skirt,Clothing,53,Texas,XL,Orange,Spring,4.7,No,Express,Yes,Yes,7,Credit Card,Weekly
129,67,Male,Coat,Outerwear,66,Ohio,L,White,Summer,4.6,No,Store Pickup,Yes,Yes,36,Cash,Annually
130,36,Male,Skirt,Clothing,53,Wisconsin,XL,Beige,Spring,4.8,No,2-Day Shipping,No,No,35,Venmo,Every 3 Months
131,35,Male,Boots,Footwear,24,Florida,L,Beige,Winter,3.2,No,Standard,Yes,Yes,15,PayPal,Annually
132,22,Female,Slippers,Footwear,61,Arizona,M,Charcoal,Fall,5.0,Yes,Express,Yes,Yes,31,Venmo,Fortnightly
133,40,Male,Jacket,Outerwear,37,Colorado,S,Olive,Fall,4.5,No,Express,Yes,Yes,48,Venmo,Monthly
134,44,Male,Jewelry,Accessories,31,New Jersey,M,White,Spring,4.5,No,Store Pickup,No,No,17,Venmo,Fortnightly
135,53,Male,Backpack,Accessories,47,Colorado,M,Purple,Summer,4.2,No,Express,No,No,26,Cash,Quarterly
136,26,Male,Jewelry,Accessories,44,Wisconsin,XL,Maroon,Winter,5.0,Yes,Express,No,No,11,Bank Transfer,Quarterly
137,28,Female,Jewelry,Accessories,20,Colorado,L,Blue,Winter,3.6,No,2-Day Shipping,Yes,Yes,26,Venmo,Quarterly
138,40,Male,Hat,Accessories,20,Tennessee,M,Pink,Spring,4.4,No,Standard,No,No,45,PayPal,Every 3 Months
139,21,Female,Skirt,Clothing,34,Pennsylvania,M,White,Summer,4.2,No,Standard,No,No,32,Bank Transfer,Weekly
140,25,Male,Pants,Clothing,47,North Carolina,S,Red,Fall,4.3,No,Store Pickup,Yes,Yes,8,Cash,Bi-Weekly
141,51,Male,Boots,Footwear,24,Virginia,M,Olive,Summer,4.4,No,Next Day Air,Yes,Yes,38,Debit Card,Fortnightly
142,68,Male,Sneakers,Footwear,54,Indiana,XL,Brown,Winter,3.0,No,Free Shipping,Yes,Yes,22,Cash,Annually
143,48,Female,Handbag,Accessories,39,California,L,Blue,Summer,3.4,No,Standard,No,No,1,Debit Card,Monthly
144,25,Male,Blouse,Clothing,40,North Carolina,M,Olive,Summer,3.5,No,Express,No,No,32,Bank Transfer,Fortnightly
145,70,Male,Shirt,Clothing,52,Tennessee,L,Blue,Winter,4.4,No,Free Shipping,Yes,Yes,15,Bank Transfer,Bi-Weekly
146,45,Male,Sunglasses,Accessories,38,New York,S,Green,Fall,4.3,No,Standard,Yes,Yes,49,Credit Card,Monthly
147,55,Male,Scarf,Accessories,26,Georgia,XL,Yellow,Spring,4.6,Yes,2-Day Shipping,No,No,50,Venmo,Bi-Weekly
148,28,Male,Pants,Clothing,20,Washington,L,Orange,Spring,,No,Standard,No,No,34,Venmo,Quarterly
149,48,Male,Pants,Clothing,47,Texas,S,Blue,Winter,4.0,No,Store Pickup,Yes,Yes,32,Bank Transfer,Every 3 Months
150,22,Male,Slippers,Footwear,40,Missouri,L,Blue,Fall,2.8,No,Free Shipping,Yes,Yes,16,PayPal,Quarterly
151,51,Female,Sneakers,Footwear,46,Georgia,S,Brown,Winter,4.1,No,Express,No,No,4,Debit Card,Quarterly
152,28,Female,Shorts,Clothing,52,New Jersey,L,Blue,Winter,4.7,Yes,Next Day Air,No,No,4,PayPal,Quarterly
153,66,Male,Shoes,Footwear,76,North Carolina,M,Grey,Fall,4.1,No,Store Pickup,No,No,24,PayPal,Bi-Weekly
154,20,Male,Scarf,Accessories,34,North Carolina,M,Grey,Winter,4.7,Yes,Express,No,No,16,Bank Transfer,Quarterly
155,52,Male,Sunglasses,Accessories,43,Wisconsin,L,Red,Winter,5.0,No,2-Day Shipping,No,No,49,Credit Card,Weekly
156,25,Male,Scarf,Accessories,20,Indiana,M,Black,Summer,3.4,No,Free Shipping,Yes,Yes,15,Venmo,Every 3 Months
157,54,Male,Jacket,Outerwear,78,Washington,S,Black,Fall,4.3,No,Store Pickup,Yes,Yes,11,Venmo,Bi-Weekly
158,44,Male,Hat,Accessories,34,Michigan,L,Brown,Winter,3.8,No,2-Day Shipping,Yes,Yes,41,Venmo,Every 3 Months
159,69,Female,Skirt,Clothing,63,New Jersey,M,Pink,Winter,3.6,No,Standard,No,No,42,Credit Card,Fortnightly
160,52,Female,Sweater,Clothing,36,Colorado,L,Grey,Winter,3.1,No,Free Shipping,Yes,Yes,19,Debit Card,Annually
161,37,Male,Jeans,Clothing,41,Wisconsin,L,Blue,Winter,3.1,Yes,Free Shipping,Yes,Yes,5,Bank Transfer,Monthly
162,22,Female,Gloves,Accessories,50,Pennsylvania,S,Brown,Summer,3.0,No,Next Day Air,Yes,Yes,5,Bank Transfer,Annually
163,49,Male,Jacket,Outerwear,73,New York,XL,Maroon,Summer,4.1,No,2-Day Shipping,No,No,27,Cash,Bi-Weekly
164,41,Male,Skirt,Clothing,28,Florida,M,Charcoal,Winter,2.9,No,Store Pickup,No,No,44,Bank Transfer,Monthly
165,20,Male,Hat,Accessories,73,Washington,M,Blue,Spring,3.6,Yes,Standard,Yes,Yes,20,PayPal,Quarterly
166,48,Male,Pants,Clothing,28,Pennsylvania,M,Maroon,Spring,3.8,No,Store Pickup,Yes,Yes,1,PayPal,Quarterly
167,29,Female,Slippers,Footwear,54,Tennessee,L,Yellow,Winter,3.6,No,Express,No,No,19,Venmo,Fortnightly
168,30,Female,Skirt,Clothing,50,Indiana,S,Red,Winter,4.6,No,Express,Yes,Yes,1,Debit Card,Bi-Weekly
169,18,Male,Jeans,Clothing,49,Florida,M,Pink,Summer,3.6,Yes,Standard,No,No,22,Debit Card,Fortnightly
170,37,Female,Skirt,Clothing,42,Wisconsin,M,White,Winter,2.7,No,Standard,Yes,Yes,24,Venmo,Quarterly
171,29,Male,Dress,Clothing,42,Massachusetts,L,Yellow,Summer,5.0,No,Free Shipping,No,No,37,Cash,Bi-Weekly
172,21,Male,Boots,Footwear,51,Ohio,M,Yellow,Fall,4.6,No,Standard,Yes,Yes,4,Credit Card,Weekly
173,41,Male,Blouse,Clothing,28,Illinois,M,Pink,Winter,4.2,No,Express,No,No,25,Venmo,Bi-Weekly
174,29,Female,Dress,Clothing,77,Florida,M,Grey,Summer,4.4,No,Free Shipping,Yes,Yes,9,Cash,Bi-Weekly
175,25,Male,Slippers,Footwear,51,Michigan,M,Black,Winter,2.8,Yes,2-Day Shipping,Yes,Yes,24,Cash,Monthly
176,42,Male,Hoodie,Clothing,53,Texas,L,Green,Winter,4.4,No,Express,No,No,50,Cash,Annually
177,21,Male,Coat,Outerwear,69,New York,M,Olive,Fall,3.0,No,Standard,No,No,38,Venmo,Annually
178,70,Female,Jacket,Outerwear,69,New Jersey,M,Pink,Spring,3.7,No,2-Day Shipping,No,No,43,Cash,Quarterly
179,42,Female,Gloves,Accessories,28,Michigan,M,Pink,Winter,2.9,No,Store Pickup,No,No,2,Debit Card,Annually
180,70,Female,Scarf,Accessories,20,Washington,L,Orange,Summer,4.4,No,Next Day Air,No,No,39,Debit Card,Weekly
181,64,Female,Dress,Clothing,42,Pennsylvania,M,Purple,Summer,3.1,No,Free Shipping,No,No,44,PayPal,Annually
182,69,Female,Handbag,Accessories,28,Arizona,M,Blue,Summer,3.1,No,Express,Yes,Yes,34,PayPal,Monthly
183,46,Male,Coat,Outerwear,92,Pennsylvania,L,Olive,Summer,2.8,Yes,Express,No,No,40,Credit Card,Bi-Weekly
184,40,Male,Slippers,Footwear,37,California,L,Blue,Summer,4.3,No,Standard,Yes,Yes,3,Venmo,Bi-Weekly
185,56,Female,Jewelry,Accessories,26,Arizona,S,Orange,Fall,3.2,Yes,Standard,Yes,Yes,37,Cash,Bi-Weekly
186,22,Male,Shirt,Clothing,31,Texas,M,Maroon,Spring,3.8,No,Next Day Air,No,No,42,Bank Transfer,Every 3 Months
187,62,Male,Hoodie,Clothing,66,Colorado,M,Orange,Fall,3.3,No,Free Shipping,Yes,Yes,12,Bank Transfer,Monthly
188,35,Male,Scarf,Accessories,21,Missouri,L,Olive,Summer,4.4,Yes,Express,Yes,Yes,24,Cash,Weekly
189,18,Female,Backpack,Accessories,43,Colorado,M,Grey,Winter,3.1,No,Express,Yes,Yes,22,PayPal,Annually
190,30,Male,Blouse,Clothing,59,Arizona,M,Orange,Winter,4.9,Yes,Free Shipping,No,No,5,PayPal,Quarterly
191,30,Female,Sneakers,Footwear,52,Wisconsin,M,White,Summer,3.3,No,2-Day Shipping,No,No,7,Venmo,Bi-Weekly
192,18,Male,Skirt,Clothing,24,Illinois,M,Pink,Winter,2.8,No,Free Shipping,Yes,Yes,16,Debit Card,Quarterly
193,53,Male,Shorts,Clothing,24,New Jersey,L,Grey,Summer,3.1,No,Express,Yes,Yes,6,Cash,Bi-Weekly
194,23,Female,Sweater,Clothing,57,Illinois,M,Orange,Winter,2.7,No,Standard,Yes,Yes,26,Debit Card,Quarterly
195,62,Male,Boots,Footwear,36,California,M,Red,Fall,3.7,No,Express,Yes,Yes,3,Debit Card,Weekly
196,42,Male,Jacket,Outerwear,80,Illinois,L,White,Fall,3.1,No,Next Day Air,Yes,Yes,1,Venmo,Fortnightly
197,56,Male,Boots,Footwear,56,Washington,L,Maroon,Spring,4.7,No,Store Pickup,Yes,Yes,32,Credit Card,Bi-Weekly
198,36,Female,Hoodie,Clothing,50,Texas,XL,Charcoal,Fall,3.8,Yes,Express,No,No,13,PayPal,Every 3 Months
199,24,Male,Jewelry,Accessories,42,Ohio,L,Grey,Winter,3.1,No,2-Day Shipping,No,No,19,PayPal,Every 3 Months
200,27,Male,Jacket,Outerwear,60,California,M,Blue,Fall,3.6,No,Standard,Yes,Yes,17,Bank Transfer,Every 3 Months
201,52,Female,Backpack,Accessories,20,Illinois,S,Black,Spring,3.0,No,2-Day Shipping,Yes,Yes,24,PayPal,Monthly
202,55,Female,T-shirt,Clothing,55,Virginia,XL,Brown,Fall,2.9,No,Store Pickup,Yes,Yes,24,Debit Card,Bi-Weekly
203,32,Male,Dress,Clothing,35,Florida,L,Charcoal,Fall,3.3,No,2-Day Shipping,Yes,Yes,7,Credit Card,Monthly
204,36,Male,Sneakers,Footwear,20,Ohio,S,Blue,Winter,2.8,No,Standard,Yes,Yes,1,Venmo,Fortnightly
205,68,Male,Shoes,Footwear,64,New York,M,Yellow,Winter,3.0,Yes,Express,No,No,23,Venmo,Monthly
206,63,Male,Sneakers,Footwear,39,Georgia,M,Brown,Spring,4.8,No,Express,No,No,29,Bank Transfer,Quarterly
207,39,Male,Scarf,Accessories,42,New Jersey,M,Yellow,Summer,4.2,Yes,Free Shipping,No,No,39,Bank Transfer,Annually
