Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Age Group,Spending Segment,High Value Customer
39,58,Male,Dress,Clothing,20,North Carolina,M,White,Fall,3.3,Yes,Store Pickup,No,No,2,Debit Card,Monthly,56-70,Low,0
40,40,Male,Shorts,Clothing,22,Michigan,M,Blue,Spring,4.5,No,2-Day Shipping,No,No,1,Venmo,Quarterly,36-45,Low,0
41,43,Male,Coat,Outerwear,74,Pennsylvania,L,Grey,Spring,4.1,No,Free Shipping,Yes,Yes,40,Bank Transfer,Annually,36-45,High,1
42,29,Female,Coat,Outerwear,74,Illinois,M,Green,Summer,4.2,No,Store Pickup,Yes,Yes,20,Cash,Every 3 Months,26-35,High,0
43,63,Female,Boots,Footwear,64,Washington,M,Grey,Spring,3.2,Yes,Store Pickup,Yes,Yes,35,Credit Card,Bi-Weekly,56-70,High,1
44,63,Male,Pants,Clothing,36,California,S,Olive,Summer,3.7,No,Express,No,No,48,PayPal,Annually,56-70,Medium,0
45,27,Female,Slippers,Footwear,38,Virginia,M,Beige,Summer,3.0,No,Store Pickup,No,No,13,Bank Transfer,Weekly,26-35,Medium,0
46,36,Female,Jeans,Clothing,38,Colorado,L,Orange,Winter,3.1,No,Express,Yes,Yes,39,PayPal,Fortnightly,36-45,Medium,0
47,32,Male,Sneakers,Footwear,55,New Jersey,L,Pink,Summer,2.7,No,Express,No,No,11,Credit Card,Fortnightly,26-35,Medium,0
48,66,Male,Shirt,Clothing,48,Tennessee,M,Brown,Winter,2.8,No,Express,No,No,38,Cash,Fortnightly,56-70,Medium,1
49,21,Female,Sweater,Clothing,33,Indiana,M,Olive,Spring,3.0,No,Standard,No,No,8,Cash,Quarterly,18-25,Medium,0
50,28,Male,Shorts,Clothing,58,New York,M,White,Spring,4.0,Yes,Express,No,No,16,PayPal,Bi-Weekly,26-35,Medium,0
51,34,Male,Jeans,Clothing,35,Tennessee,L,Purple,Summer,3.6,No,Standard,Yes,Yes,24,Bank Transfer,Every 3 Months,26-35,Medium,0
52,47,Male,Sneakers,Footwear,41,Arizona,M,Grey,Summer,3.2,No,Store Pickup,No,No,25,Bank Transfer,Quarterly,46-55,Medium,0
53,31,Female,Boots,Footwear,46,New York,L,Yellow,Winter,4.7,No,Standard,No,No,2,Debit Card,Quarterly,26-35,Medium,0
54,46,Male,Coat,Outerwear,91,Wisconsin,M,Charcoal,Summer,3.8,No,Free Shipping,No,No,43,Venmo,Every 3 Months,46-55,Premium,1
55,57,Female,Sandals,Footwear,53,Tennessee,M,Orange,Summer,4.8,No,Next Day Air,No,No,1,Bank Transfer,Bi-Weekly,56-70,Medium,0
56,61,Female,Shorts,Clothing,34,Ohio,M,Orange,Winter,4.1,Yes,Store Pickup,Yes,Yes,45,Cash,Bi-Weekly,56-70,Medium,0
57,23,Male,Blouse,Clothing,58,Indiana,S,White,Winter,2.5,No,Next Day Air,No,No,11,Credit Card,Weekly,18-25,Medium,0
58,25,Male,Handbag,Accessories,67,Virginia,M,Maroon,Winter,4.8,No,Standard,Yes,Yes,36,Credit Card,Every 3 Months,18-25,High,1
59,23,Male,Gloves,Accessories,38,North Carolina,M,Brown,Summer,4.6,No,Store Pickup,No,No,36,Cash,Fortnightly,18-25,Medium,0
60,66,Male,Pants,Clothing,63,Florida,S,Green,Spring,4.1,No,Standard,Yes,Yes,23,Debit Card,Quarterly,56-70,High,0
61,52,Male,Dress,Clothing,60,Virginia,XL,Green,Spring,3.8,No,Next Day Air,Yes,Yes,27,Debit Card,Every 3 Months,46-55,Medium,1
62,46,Male,Pants,Clothing,35,Missouri,S,Pink,Spring,3.6,Yes,Express,Yes,Yes,4,Debit Card,Bi-Weekly,46-55,Medium,0
63,59,Male,Dress,Clothing,45,Florida,L,Beige,Winter,3.7,Yes,Store Pickup,No,No,46,Credit Card,Fortnightly,56-70,Medium,1
64,49,Female,Dress,Clothing,25,California,M,Purple,Spring,4.4,No,Free Shipping,No,No,6,Credit Card,Quarterly,46-55,Low,0
65,30,Male,Shoes,Footwear,51,Illinois,M,Maroon,Summer,3.8,No,Next Day Air,Yes,Yes,33,Bank Transfer,Bi-Weekly,26-35,Medium,1
66,45,Male,Jewelry,Accessories,25,Ohio,S,Blue,Fall,2.9,No,Express,Yes,Yes,1,Bank Transfer,Every 3 Months,36-45,Low,0
67,55,Male,Handbag,Accessories,28,Georgia,L,Brown,Fall,2.6,No,Store Pickup,Yes,Yes,38,PayPal,Monthly,46-55,Low,0
68,19,Male,Belt,Accessories,23,Wisconsin,L,Maroon,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,18,PayPal,Bi-Weekly,18-25,Low,0
69,50,Male,T-shirt,Clothing,40,Wisconsin,L,Brown,Fall,3.1,No,2-Day Shipping,Yes,Yes,25,Bank Transfer,Every 3 Months,46-55,Medium,0
70,44,Male,Shoes,Footwear,62,Colorado,M,Green,Spring,3.4,No,Free Shipping,No,No,2,Debit Card,Bi-Weekly,36-45,High,0
71,21,Male,Hoodie,Clothing,43,Illinois,S,Yellow,Summer,4.7,No,Express,No,No,11,Debit Card,Every 3 Months,18-25,Medium,0
72,31,Male,Sweater,Clothing,20,Illinois,L,Purple,Winter,3.1,No,Express,No,No,22,Bank Transfer,Quarterly,26-35,Low,0
73,41,Female,Hoodie,Clothing,33,Texas,L,Red,Summer,3.3,Yes,Next Day Air,No,No,36,PayPal,Annually,36-45,Medium,0
74,36,Male,Skirt,Clothing,22,New Jersey,M,White,Summer,3.1,No,Express,No,No,30,Bank Transfer,Monthly,36-45,Low,0
75,33,Male,Sneakers,Footwear,58,Illinois,L,Grey,Spring,3.9,Yes,Free Shipping,Yes,Yes,14,Credit Card,Weekly,26-35,Medium,0
76,52,Male,Shirt,Clothing,52,Indiana,L,Orange,Winter,4.0,No,Standard,Yes,Yes,30,Debit Card,Fortnightly,46-55,Medium,1
77,39,Male,Sunglasses,Accessories,38,Massachusetts,M,Blue,Fall,3.8,No,Express,Yes,Yes,12,Credit Card,Weekly,36-45,Medium,0
78,44,Male,Hat,Accessories,23,Michigan,L,Beige,Winter,4.9,No,Standard,No,No,28,Bank Transfer,Every 3 Months,36-45,Low,0
79,60,Male,Gloves,Accessories,38,Missouri,S,Beige,Summer,5.0,No,2-Day Shipping,No,No,28,Bank Transfer,Fortnightly,56-70,Medium,0
80,22,Female,Jeans,Clothing,37,Florida,S,Yellow,Summer,4.6,No,2-Day Shipping,No,No,12,Venmo,Fortnightly,18-25,Medium,0
81,37,Male,Jeans,Clothing,27,Michigan,L,Green,Summer,4.5,No,2-Day Shipping,No,No,11,PayPal,Quarterly,36-45,Low,0
82,21,Male,Gloves,Accessories,46,Ohio,XL,Olive,Spring,3.4,No,Free Shipping,Yes,Yes,26,Debit Card,Fortnightly,18-25,Medium,1
83,67,Female,Hat,Accessories,47,Florida,M,Black,Winter,3.9,No,Standard,Yes,Yes,30,Venmo,Annually,56-70,Medium,1
84,27,Male,Slippers,Footwear,69,Missouri,S,Blue,Fall,3.4,Yes,Express,No,No,49,Venmo,Annually,26-35,High,1
85,61,Male,T-shirt,Clothing,35,Massachusetts,S,Brown,Summer,4.5,No,Free Shipping,Yes,Yes,25,PayPal,Monthly,56-70,Medium,0
86,28,Male,Shoes,Footwear,72,Florida,M,Charcoal,Fall,2.9,No,Store Pickup,No,No,23,Cash,Quarterly,26-35,High,0
87,35,Female,Boots,Footwear,47,New York,L,Yellow,Spring,3.0,No,Free Shipping,Yes,Yes,24,Cash,Bi-Weekly,26-35,Medium,0
88,50,Male,Hat,Accessories,44,Pennsylvania,S,Brown,Summer,2.6,No,Free Shipping,Yes,Yes,44,Credit Card,Monthly,46-55,Medium,1
89,62,Male,Boots,Footwear,47,Tennessee,S,Blue,Summer,4.0,Yes,Next Day Air,Yes,Yes,16,PayPal,Monthly,56-70,Medium,0
90,27,Male,Blouse,Clothing,41,New York,L,Charcoal,Winter,4.2,No,Free Shipping,No,No,20,PayPal,Bi-Weekly,26-35,Medium,0
91,29,Male,Handbag,Accessories,20,Virginia,S,Pink,Winter,2.5,Yes,Store Pickup,Yes,Yes,19,Venmo,Monthly,26-35,Low,0
92,64,Female,Jewelry,Accessories,30,New York,M,Beige,Winter,3.8,No,2-Day Shipping,No,No,32,Bank Transfer,Fortnightly,56-70,Low,0
93,35,Male,Pants,Clothing,46,Pennsylvania,L,Grey,Summer,3.4,No,Standard,Yes,Yes,35,Debit Card,Quarterly,26-35,Medium,1
94,29,Male,Jeans,Clothing,38,Washington,S,Purple,Fall,4.5,Yes,Standard,No,No,25,Bank Transfer,Weekly,26-35,Medium,0
95,57,Male,Shirt,Clothing,71,New York,M,Brown,Winter,2.6,No,Store Pickup,No,No,14,Credit Card,Annually,56-70,High,0
96,22,Male,Hat,Accessories,20,Georgia,S,Yellow,Spring,2.6,No,Next Day Air,No,No,35,Cash,Annually,18-25,Low,0
97,63,Male,Sneakers,Footwear,46,Ohio,M,Olive,Fall,4.1,No,Next Day Air,Yes,Yes,14,Venmo,Fortnightly,56-70,Medium,0
98,64,Male,Boots,Footwear,41,California,XL,Maroon,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,45,Cash,Weekly,56-70,Medium,0
99,63,Male,Gloves,Accessories,26,California,L,White,Fall,4.6,No,Next Day Air,No,No,32,Bank Transfer,Monthly,56-70,Low,0
100,33,Female,Sweater,Clothing,60,New York,S,Maroon,Summer,4.0,No,Free Shipping,No,No,23,Bank Transfer,Weekly,26-35,Medium,0
101,24,Female,Dress,Clothing,67,Virginia,S,Green,Fall,4.9,Yes,Express,Yes,Yes,12,Debit Card,Bi-Weekly,18-25,High,0
102,40,Female,Scarf,Accessories,24,California,M,Pink,Summer,3.3,No,Express,Yes,Yes,38,Bank Transfer,Every 3 Months,36-45,Low,0
103,35,Male,Boots,Footwear,44,Washington,L,Yellow,Winter,3.5,Yes,Store Pickup,Yes,Yes,31,Bank Transfer,Bi-Weekly,26-35,Medium,1
104,68,Female,Blouse,Clothing,27,California,L,Brown,Winter,4.9,No,Free Shipping,No,No,45,Bank Transfer,Annually,56-70,Low,0
105,51,Female,Handbag,Accessories,54,Illinois,L,Yellow,Fall,2.8,No,Store Pickup,Yes,Yes,36,Credit Card,Weekly,46-55,Medium,1
106,68,Female,Shirt,Clothing,61,Florida,S,Yellow,Summer,4.5,No,Express,Yes,Yes,40,Debit Card,Quarterly,56-70,High,1
107,57,Male,Jewelry,Accessories,33,Pennsylvania,XL,Pink,Spring,2.5,No,Store Pickup,No,No,5,Bank Transfer,Monthly,56-70,Medium,0
108,55,Male,Jewelry,Accessories,20,Virginia,L,Blue,Spring,3.7,No,Next Day Air,No,No,2,Bank Transfer,Fortnightly,46-55,Low,0
109,23,Male,Scarf,Accessories,20,North Carolina,M,Yellow,Summer,2.9,No,Store Pickup,No,No,33,Bank Transfer,Monthly,18-25,Low,0
110,21,Female,Sneakers,Footwear,57,California,M,Black,Winter,4.0,No,Store Pickup,No,No,1,Debit Card,Fortnightly,18-25,Medium,0
111,20,Male,Skirt,Clothing,53,New York,M,Black,Winter,4.5,Yes,Standard,No,No,45,Venmo,Quarterly,18-25,Medium,1
112,49,Male,Backpack,Accessories,20,Pennsylvania,M,Orange,Fall,2.6,No,2-Day Shipping,No,No,45,Debit Card,Annually,46-55,Low,0
113,28,Male,Boots,Footwear,50,Ohio,M,Red,Winter,2.9,No,2-Day Shipping,Yes,Yes,30,PayPal,Monthly,26-35,Medium,1
114,70,Male,Coat,Outerwear,99,Arizona,M,Brown,Spring,3.4,Yes,Store Pickup,No,No,37,Debit Card,Quarterly,56-70,Premium,1
115,25,Male,Shirt,Clothing,41,Georgia,L,Beige,Fall,3.1,No,Next Day Air,Yes,Yes,22,Bank Transfer,Quarterly,18-25,Medium,0
116,68,Female,Coat,Outerwear,97,Virginia,L,Orange,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,48,Venmo,Every 3 Months,56-70,Premium,1
117,53,Female,Slippers,Footwear,64,Ohio,M,Yellow,Spring,4.9,No,2-Day Shipping,No,No,2,PayPal,Monthly,46-55,High,0
118,23,Female,Pants,Clothing,28,Colorado,M,Pink,Fall,2.8,No,Next Day Air,Yes,Yes,15,Venmo,Monthly,18-25,Low,0
119,21,Male,Jewelry,Accessories,30,New York,S,Beige,Winter,3.6,No,Free Shipping,No,No,35,Bank Transfer,Weekly,18-25,Low,0
120,38,Male,Shirt,Clothing,43,Wisconsin,M,Green,Summer,3.6,No,Free Shipping,No,No,40,Credit Card,Every 3 Months,36-45,Medium,0
121,35,Male,Handbag,Accessories,20,Wisconsin,L,Yellow,Summer,3.2,No,2-Day Shipping,Yes,Yes,13,Debit Card,Annually,26-35,Low,0
122,34,Male,Gloves,Accessories,20,Ohio,M,Blue,Summer,3.2,No,Express,Yes,Yes,41,Bank Transfer,Annually,26-35,Low,0
123,46,Male,Slippers,Footwear,77,Illinois,XL,Blue,Fall,4.3,No,Express,No,No,24,Bank Transfer,Every 3 Months,46-55,High,0
124,24,Male,Jeans,Clothing,30,California,L,Black,Fall,4.0,No,Standard,No,No,43,Debit Card,Bi-Weekly,18-25,Low,0
125,24,Male,Boots,Footwear,71,Wisconsin,L,White,Spring,4.5,Yes,2-Day Shipping,No,No,14,PayPal,Quarterly,18-25,High,0
126,54,Male,Boots,Footwear,48,California,M,Grey,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Debit Card,Bi-Weekly,46-55,Medium,1
127,70,Male,Boots,Footwear,54,California,S,Beige,Fall,4.0,Yes,Standard,No,No,11,Bank Transfer,Annually,56-70,Medium,0
128,32,Male,Skirt,Clothing,53,Texas,XL,Orange,Spring,4.7,No,Express,Yes,Yes,7,Credit Card,Weekly,26-35,Medium,0
129,67,Male,Coat,Outerwear,66,Ohio,L,White,Summer,4.6,No,Store Pickup,Yes,Yes,36,Cash,Annually,56-70,High,1
130,36,Male,Skirt,Clothing,53,Wisconsin,XL,Beige,Spring,4.8,No,2-Day Shipping,No,No,35,Venmo,Every 3 Months,36-45,Medium,1
131,35,Male,Boots,Footwear,24,Florida,L,Beige,Winter,3.2,No,Standard,Yes,Yes,15,PayPal,Annually,26-35,Low,0
132,22,Female,Slippers,Footwear,61,Arizona,M,Charcoal,Fall,5.0,Yes,Express,Yes,Yes,31,Venmo,Fortnightly,18-25,High,1
133,40,Male,Jacket,Outerwear,37,Colorado,S,Olive,Fall,4.5,No,Express,Yes,Yes,48,Venmo,Monthly,36-45,Medium,0
134,44,Male,Jewelry,Accessories,31,New Jersey,M,White,Spring,4.5,No,Store Pickup,No,No,17,Venmo,Fortnightly,36-45,Medium,0
135,53,Male,Backpack,Accessories,47,Colorado,M,Purple,Summer,4.2,No,Express,No,No,26,Cash,Quarterly,46-55,Medium,1
136,26,Male,Jewelry,Accessories,44,Wisconsin,XL,Maroon,Winter,5.0,Yes,Express,No,No,11,Bank Transfer,Quarterly,26-35,Medium,0
137,28,Female,Jewelry,Accessories,20,Colorado,L,Blue,Winter,3.6,No,2-Day Shipping,Yes,Yes,26,Venmo,Quarterly,26-35,Low,0
138,40,Male,Hat,Accessories,20,Tennessee,M,Pink,Spring,4.4,No,Standard,No,No,45,PayPal,Every 3 Months,36-45,Low,0
139,21,Female,Skirt,Clothing,34,Pennsylvania,M,White,Summer,4.2,No,Standard,No,No,32,Bank Transfer,Weekly,18-25,Medium,0
140,25,Male,Pants,Clothing,47,North Carolina,S,Red,Fall,4.3,No,Store Pickup,Yes,Yes,8,Cash,Bi-Weekly,18-25,Medium,0
141,51,Male,Boots,Footwear,24,Virginia,M,Olive,Summer,4.4,No,Next Day Air,Yes,Yes,38,Debit Card,Fortnightly,46-55,Low,0
142,68,Male,Sneakers,Footwear,54,Indiana,XL,Brown,Winter,3.0,No,Free Shipping,Yes,Yes,22,Cash,Annually,56-70,Medium,0
143,48,Female,Handbag,Accessories,39,California,L,Blue,Summer,3.4,No,Standard,No,No,1,Debit Card,Monthly,46-55,Medium,0
144,25,Male,Blouse,Clothing,40,North Carolina,M,Olive,Summer,3.5,No,Express,No,No,32,Bank Transfer,Fortnightly,18-25,Medium,0
145,70,Male,Shirt,Clothing,52,Tennessee,L,Blue,Winter,4.4,No,Free Shipping,Yes,Yes,15,Bank Transfer,Bi-Weekly,56-70,Medium,0
146,45,Male,Sunglasses,Accessories,38,New York,S,Green,Fall,4.3,No,Standard,Yes,Yes,49,Credit Card,Monthly,36-45,Medium,0
147,55,Male,Scarf,Accessories,26,Georgia,XL,Yellow,Spring,4.6,Yes,2-Day Shipping,No,No,50,Venmo,Bi-Weekly,46-55,Low,0
148,28,Male,Pants,Clothing,20,Washington,L,Orange,Spring,3.8,No,Standard,No,No,34,Venmo,Quarterly,26-35,Low,0
149,48,Male,Pants,Clothing,47,Texas,S,Blue,Winter,4.0,No,Store Pickup,Yes,Yes,32,Bank Transfer,Every 3 Months,46-55,Medium,1
150,22,Male,Slippers,Footwear,40,Missouri,L,Blue,Fall,2.8,No,Free Shipping,Yes,Yes,16,PayPal,Quarterly,18-25,Medium,0
151,51,Female,Sneakers,Footwear,46,Georgia,S,Brown,Winter,4.1,No,Express,No,No,4,Debit Card,Quarterly,46-55,Medium,0
152,28,Female,Shorts,Clothing,52,New Jersey,L,Blue,Winter,4.7,Yes,Next Day Air,No,No,4,PayPal,Quarterly,26-35,Medium,0
153,66,Male,Shoes,Footwear,76,North Carolina,M,Grey,Fall,4.1,No,Store Pickup,No,No,24,PayPal,Bi-Weekly,56-70,High,0
154,20,Male,Scarf,Accessories,34,North Carolina,M,Grey,Winter,4.7,Yes,Express,No,No,16,Bank Transfer,Quarterly,18-25,Medium,0
155,52,Male,Sunglasses,Accessories,43,Wisconsin,L,Red,Winter,5.0,No,2-Day Shipping,No,No,49,Credit Card,Weekly,46-55,Medium,0
156,25,Male,Scarf,Accessories,20,Indiana,M,Black,Summer,3.4,No,Free Shipping,Yes,Yes,15,Venmo,Every 3 Months,18-25,Low,0
157,54,Male,Jacket,Outerwear,78,Washington,S,Black,Fall,4.3,No,Store Pickup,Yes,Yes,11,Venmo,Bi-Weekly,46-55,High,0
158,44,Male,Hat,Accessories,34,Michigan,L,Brown,Winter,3.8,No,2-Day Shipping,Yes,Yes,41,Venmo,Every 3 Months,36-45,Medium,0
159,69,Female,Skirt,Clothing,63,New Jersey,M,Pink,Winter,3.6,No,Standard,No,No,42,Credit Card,Fortnightly,56-70,High,1
160,52,Female,Sweater,Clothing,36,Colorado,L,Grey,Winter,3.1,No,Free Shipping,Yes,Yes,19,Debit Card,Annually,46-55,Medium,0
161,37,Male,Jeans,Clothing,41,Wisconsin,L,Blue,Winter,3.1,Yes,Free Shipping,Yes,Yes,5,Bank Transfer,Monthly,36-45,Medium,0
162,22,Female,Gloves,Accessories,50,Pennsylvania,S,Brown,Summer,3.0,No,Next Day Air,Yes,Yes,5,Bank Transfer,Annually,18-25,Medium,0
163,49,Male,Jacket,Outerwear,73,New York,XL,Maroon,Summer,4.1,No,2-Day Shipping,No,No,27,Cash,Bi-Weekly,46-55,High,1
164,41,Male,Skirt,Clothing,28,Florida,M,Charcoal,Winter,2.9,No,Store Pickup,No,No,44,Bank Transfer,Monthly,36-45,Low,0
165,20,Male,Hat,Accessories,73,Washington,M,Blue,Spring,3.6,Yes,Standard,Yes,Yes,20,PayPal,Quarterly,18-25,High,0
166,48,Male,Pants,Clothing,28,Pennsylvania,M,Maroon,Spring,3.8,No,Store Pickup,Yes,Yes,1,PayPal,Quarterly,46-55,Low,0
167,29,Female,Slippers,Footwear,54,Tennessee,L,Yellow,Winter,3.6,No,Express,No,No,19,Venmo,Fortnightly,26-35,Medium,0
168,30,Female,Skirt,Clothing,50,Indiana,S,Red,Winter,4.6,No,Express,Yes,Yes,1,Debit Card,Bi-Weekly,26-35,Medium,0
169,18,Male,Jeans,Clothing,49,Florida,M,Pink,Summer,3.6,Yes,Standard,No,No,22,Debit Card,Fortnightly,18-25,Medium,0
170,37,Female,Skirt,Clothing,42,Wisconsin,M,White,Winter,2.7,No,Standard,Yes,Yes,24,Venmo,Quarterly,36-45,Medium,0
171,29,Male,Dress,Clothing,42,Massachusetts,L,Yellow,Summer,5.0,No,Free Shipping,No,No,37,Cash,Bi-Weekly,26-35,Medium,0
172,21,Male,Boots,Footwear,51,Ohio,M,Yellow,Fall,4.6,No,Standard,Yes,Yes,4,Credit Card,Weekly,18-25,Medium,0
173,41,Male,Blouse,Clothing,28,Illinois,M,Pink,Winter,4.2,No,Express,No,No,25,Venmo,Bi-Weekly,36-45,Low,0
174,29,Female,Dress,Clothing,77,Florida,M,Grey,Summer,4.4,No,Free Shipping,Yes,Yes,9,Cash,Bi-Weekly,26-35,High,0
175,25,Male,Slippers,Footwear,51,Michigan,M,Black,Winter,2.8,Yes,2-Day Shipping,Yes,Yes,24,Cash,Monthly,18-25,Medium,0
176,42,Male,Hoodie,Clothing,53,Texas,L,Green,Winter,4.4,No,Express,No,No,50,Cash,Annually,36-45,Medium,1
177,21,Male,Coat,Outerwear,69,New York,M,Olive,Fall,3.0,No,Standard,No,No,38,Venmo,Annually,18-25,High,1
178,70,Female,Jacket,Outerwear,69,New Jersey,M,Pink,Spring,3.7,No,2-Day Shipping,No,No,43,Cash,Quarterly,56-70,High,1
179,42,Female,Gloves,Accessories,28,Michigan,M,Pink,Winter,2.9,No,Store Pickup,No,No,2,Debit Card,Annually,36-45,Low,0
180,70,Female,Scarf,Accessories,20,Washington,L,Orange,Summer,4.4,No,Next Day Air,No,No,39,Debit Card,Weekly,56-70,Low,0
181,64,Female,Dress,Clothing,42,Pennsylvania,M,Purple,Summer,3.1,No,Free Shipping,No,No,44,PayPal,Annually,56-70,Medium,0
